Time,FRET,Enzyme,RNA,DNA
1433.21,0.214172396,1.00E-05,1.00E-07,5.00E-07
1433.21,0.181222135,1.00E-05,1.00E-07,5.00E-07
1561.368,0.18142223,1.00E-05,1.00E-07,5.00E-07
1561.368,0.18238243,1.00E-05,1.00E-07,5.00E-07
1561.368,0.199716914,1.00E-05,1.00E-07,5.00E-07
1561.368,0.187660668,1.00E-05,1.00E-07,5.00E-07
1689.526,0.176028273,1.00E-05,1.00E-07,5.00E-07
1689.526,0.187629499,1.00E-05,1.00E-07,5.00E-07
1689.526,0.170837038,1.00E-05,1.00E-07,5.00E-07
1689.526,0.198107175,1.00E-05,1.00E-07,5.00E-07
1817.684,0.177195686,1.00E-05,1.00E-07,5.00E-07
1817.684,0.175996349,1.00E-05,1.00E-07,5.00E-07
1817.684,0.200797342,1.00E-05,1.00E-07,5.00E-07
1817.684,0.206181482,1.00E-05,1.00E-07,5.00E-07
1945.842,0.155908318,1.00E-05,1.00E-07,5.00E-07
1945.842,0.165135416,1.00E-05,1.00E-07,5.00E-07
1945.842,0.164716472,1.00E-05,1.00E-07,5.00E-07
1945.842,0.197755961,1.00E-05,1.00E-07,5.00E-07
